timestamp,open,high,low,close,adjusted close,volume,dividend amount
2015-02-27,154.0000,164.9900,151.5100,161.9400,132.2680,77654705,1.1000
2015-01-30,161.3100,163.3100,149.5200,153.3100,124.3465,117395861,0.0000
2014-12-31,161.6400,164.5200,150.5000,160.4400,130.1295,101614529,0.0000
2014-11-28,164.2500,164.9700,159.8000,162.1700,131.5327,80018581,1.1000
2014-10-31,189.9100,190.8900,161.1000,164.4000,132.4391,146272610,0.0000
2014-09-30,192.6800,195.0000,188.1200,189.8300,152.9253,64033759,0.0000
2014-08-29,190.5000,194.1330,183.5800,192.3000,154.9151,53441600,1.1000
2014-07-31,181.7000,196.4000,181.7000,191.6700,153.4996,97597800,0.0000
2014-06-30,184.7600,187.6500,179.2700,181.2700,145.1707,78501700,0.0000
2014-05-30,196.3100,196.7400,182.3300,184.3600,147.6454,70018300,1.1000
2014-04-30,193.1200,199.2100,187.0100,196.4700,156.4347,118447100,0.0000
2014-03-31,183.3300,195.6300,182.2100,192.4900,153.2657,118984000,0.0000
2014-02-28,176.0200,186.1200,172.1900,185.1700,147.4373,87054800,0.9500
2014-01-31,187.2100,190.8100,175.3400,176.6800,139.9164,123489300,0.0000
2013-12-31,179.4600,187.7900,172.7300,187.5700,148.5404,97993100,0.0000
2013-11-29,179.8100,186.2400,177.3100,179.6800,142.2921,100984900,0.9500
2013-10-31,185.3400,186.9900,172.5700,179.2100,141.1715,130967100,0.0000
2013-09-30,183.6300,194.8900,182.3100,185.1800,145.8743,71488100,0.0000
2013-08-30,196.6500,197.1700,181.1000,182.2700,143.5820,73077400,0.9500
2013-07-31,192.1500,200.9400,190.2600,195.0400,152.8713,88079400,0.0000
2013-06-28,208.2500,210.0500,188.4100,191.1100,149.7910,80215000,0.0000
2013-05-31,201.8700,211.9800,199.2000,208.0200,163.0449,90683600,0.9500
2013-04-30,212.8000,214.8900,187.6800,202.5400,158.0168,108666600,0.0000
2013-03-28,200.6500,215.9000,199.3600,213.3000,166.4115,76023800,0.0000
2013-02-28,204.6500,205.3500,197.5100,200.8300,156.6827,64144100,0.8500
2013-01-31,194.0900,208.5800,190.3900,203.0700,157.7632,87636600,0.0000
2012-12-31,190.7600,196.4500,186.9400,191.5500,148.8134,79320200,0.0000
2012-11-30,194.9600,198.0000,184.7800,190.0700,147.6636,81892500,0.8500
2012-10-31,208.0100,211.7900,190.5600,194.5300,150.4596,96155000,0.0000
2012-09-28,196.6100,208.3200,193.2500,207.4500,160.4526,77341400,0.0000
2012-08-31,196.9600,202.0000,193.0200,194.8500,150.7071,60653700,0.8500
2012-07-31,196.3600,197.8400,181.8500,195.9800,150.9365,91516500,0.0000
2012-06-29,190.1200,199.9900,187.0000,195.5800,150.6284,84559100,0.0000
2012-05-31,207.1800,208.9290,192.0000,192.9000,148.5644,86005300,0.8500
2012-04-30,208.9600,210.6900,196.7910,207.0800,158.8153,86603000,0.0000
2012-03-30,197.2300,209.1200,196.8120,208.6500,160.0193,88096900,0.0000
2012-02-29,193.2100,199.2300,190.8310,196.7300,150.8776,78809900,0.7500
2012-01-31,186.7300,193.1000,177.3472,192.6000,147.1382,110015000,0.0000
2011-12-30,187.0100,194.9000,179.0400,183.8800,140.4765,103436500,0.0000
2011-11-30,181.5500,189.9700,177.0600,188.0000,143.6240,97014100,0.7500
2011-10-31,174.3600,190.5300,168.8800,184.6300,140.4868,144563700,0.0000
2011-09-30,172.7100,180.9100,158.7600,174.8700,133.0603,137895000,0.0000
2011-08-31,182.6000,183.6900,157.1300,171.9100,130.8080,195054100,0.7500
2011-07-29,171.6100,185.6300,171.4900,181.8500,137.7499,113593200,0.0000
2011-06-30,168.9000,172.4468,161.5200,171.5500,129.9477,105442400,0.0000
2011-05-31,172.1100,173.5400,165.9000,168.9300,127.9631,110804200,0.7500
2011-04-29,163.7000,173.0000,162.1900,170.5800,128.6417,100769500,0.0000
2011-03-31,163.1500,167.7200,151.7100,163.0700,122.9781,129714300,0.0000
2011-02-28,162.1100,166.2500,159.0300,161.8800,122.0807,89067500,0.6500
2011-01-31,147.2100,164.3500,146.6400,162.0000,121.6948,118831600,0.0000
2010-12-31,143.6100,147.5000,143.5100,146.7600,110.2465,93392800,0.0000
2010-11-30,143.6400,147.5300,141.1800,141.4600,106.2651,104096700,0.6500
2010-10-29,135.5100,144.0000,134.3900,143.6000,107.3960,137284700,0.0000
2010-09-30,125.3100,136.1100,124.5200,134.1400,100.3211,116092900,0.0000
2010-08-31,129.2500,132.4900,122.2800,123.1300,92.0869,117394000,0.6500
2010-07-30,123.5500,131.6000,120.6100,128.4000,95.5510,144080000,0.0000
2010-06-30,124.6900,131.9400,122.8200,123.4800,91.8897,162019100,0.0000
2010-05-28,129.3900,133.1000,116.0000,125.2600,93.2143,188444200,0.6500
2010-04-30,128.9500,132.2800,127.1200,129.0000,95.4966,146426400,0.0000
2010-03-31,127.5000,130.7300,125.2000,128.2500,94.9413,139997300,0.0000
2010-02-26,123.2300,128.2700,121.6100,127.1600,94.1344,113211200,0.5500
2010-01-29,131.1800,134.2500,121.9000,122.3900,90.1963,156110600,0.0000
2009-12-31,127.2900,132.8500,126.0000,130.9000,96.4678,124475900,0.0000
2009-11-30,120.6100,128.9400,119.5000,126.3500,93.1146,110748200,0.5500
2009-10-30,119.3900,128.6100,117.2600,120.6100,88.4904,183531100,0.0000
2009-09-30,117.6700,122.8800,115.1500,119.6100,87.7567,131522200,0.0000
2009-08-31,118.8800,120.8800,116.1200,118.0500,86.6121,112480200,0.5500
2009-07-31,105.0000,119.3700,99.5000,117.9300,86.1205,176171400,0.0000
2009-06-30,106.9400,110.6400,103.5100,104.4200,76.2546,160502100,0.0000
2009-05-29,103.7800,106.8200,99.8300,106.2800,77.6129,153084700,0.5500
2009-04-30,96.1300,106.0500,95.7000,103.2100,74.9768,213623100,0.0000
2009-03-31,91.1700,99.8600,83.0200,96.8900,70.3857,286114500,0.0000
2009-02-27,90.6000,97.1000,82.8500,92.0300,66.8551,223017600,0.5000
2009-01-30,83.8900,94.9400,81.7600,91.6500,66.2346,208959400,0.0000
2008-12-31,80.9500,87.2700,75.3100,84.1600,60.8217,188846100,0.0000
2008-11-28,92.6400,94.7600,69.5000,81.6000,58.9716,218313000,0.5000
2008-10-31,115.5100,116.8000,78.8200,92.9700,66.7963,314972000,0.0000
2008-09-30,122.8700,124.0000,109.9500,116.9600,84.0325,218411700,0.0000
2008-08-29,128.5200,129.9700,121.5000,121.7300,87.4596,137028800,0.5000
2008-07-31,117.5000,130.9300,116.6000,127.9800,91.5955,200876500,0.0000
2008-06-30,128.6700,129.3700,118.1500,118.5300,84.8321,152327500,0.0000
